Месяц,MAE,Макс_Ошибка,Среднее_TNav,Среднее_PSS
286,21.3559,34.7629,199.983,178.7179
287,21.384,34.8525,199.9321,178.6388
288,21.413,34.9421,199.883,178.5603
289,21.4399,35.0297,199.8322,178.4825
290,21.4662,35.1162,199.7816,178.4053
291,21.4968,35.2046,199.7359,178.3288
292,21.522,35.2891,199.6853,178.2529
293,21.5483,35.3735,199.6365,178.1776
294,21.5723,35.456,199.5861,178.1029
295,21.5975,35.5385,199.5374,178.0288
296,21.6205,35.619,199.4871,177.9553
297,21.643,35.6985,199.4369,177.8825
298,21.6665,35.7781,199.3883,177.8102
299,21.6879,35.8556,199.3382,177.7385
300,21.7104,35.9333,199.2898,177.6674
